timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+1,0.09,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.866,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+2,0.26,1/1/2000,12/31/2024,1/1/2022,0.913,0.767,0.958,-0.099,0.732,0.479,23,0,7,1
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+3,0.28,1/1/2000,12/31/2024,1/1/2022,0.913,0.767,0.958,-0.099,0.619,0.479,23,0,7,1
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+4,0.33,1/1/2000,12/31/2024,1/1/2022,0.88,0.759,0.917,-0.142,0.446,0.458,22,0,7,2
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+5,0.38,1/1/2000,12/31/2024,1/1/2022,0.88,0.759,0.917,-0.142,0.399,0.458,22,0,7,2
7/10/2025 16:01,France_level_1_final,Balanced Random Forest,Month+6,0.69,1/1/2000,12/31/2024,1/1/2022,0.813,0.741,0.833,-0.208,0.238,0.417,20,0,7,4
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+1,0.11,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.783,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+2,0.14,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.649,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+3,0.13,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.539,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+4,0.16,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.381,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+5,0.16,1/1/2000,12/31/2024,1/1/2022,0.945,0.774,1.0,0.0,0.339,0.5,24,0,7,0
7/10/2025 16:01,France_level_1_final,Extra Trees,Month+6,0.31,1/1/2000,12/31/2024,1/1/2022,0.913,0.767,0.958,-0.099,0.31,0.479,23,0,7,1
7/10/2025 16:01,France_level_1_final,XGBoost,Month+1,0.26,1/1/2000,12/31/2024,1/1/2022,0.96,0.828,1.0,0.486,0.899,0.643,24,2,5,0
7/10/2025 16:01,France_level_1_final,XGBoost,Month+2,0.24,1/1/2000,12/31/2024,1/1/2022,0.927,0.821,0.958,0.345,0.75,0.622,23,2,5,1
7/10/2025 16:01,France_level_1_final,XGBoost,Month+3,0.37,1/1/2000,12/31/2024,1/1/2022,0.887,0.786,0.917,0.084,0.595,0.53,22,1,6,2
7/10/2025 16:01,France_level_1_final,XGBoost,Month+4,0.48,1/1/2000,12/31/2024,1/1/2022,0.854,0.778,0.875,0.022,0.44,0.509,21,1,6,3
7/10/2025 16:01,France_level_1_final,XGBoost,Month+5,0.91,1/1/2000,12/31/2024,1/1/2022,0.82,0.769,0.833,-0.027,0.292,0.488,20,1,6,4
7/10/2025 16:01,France_level_1_final,XGBoost,Month+6,0.93,1/1/2000,12/31/2024,1/1/2022,0.785,0.76,0.792,-0.069,0.208,0.467,19,1,6,5
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+1,0.06,1/1/2000,12/31/2024,1/1/2022,0.968,0.857,1.0,0.606,0.821,0.714,24,3,4,0
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+2,0.05,1/1/2000,12/31/2024,1/1/2022,0.927,0.821,0.958,0.345,0.702,0.622,23,2,5,1
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+3,0.05,1/1/2000,12/31/2024,1/1/2022,0.887,0.786,0.917,0.084,0.625,0.53,22,1,6,2
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+4,0.03,1/1/2000,12/31/2024,1/1/2022,0.854,0.778,0.875,0.022,0.5,0.509,21,1,6,3
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+5,0.56,1/1/2000,12/31/2024,1/1/2022,0.82,0.769,0.833,-0.027,0.417,0.488,20,1,6,4
7/10/2025 16:01,France_level_1_final,Logistic Regression,Month+6,0.38,1/1/2000,12/31/2024,1/1/2022,0.88,0.759,0.917,-0.142,0.363,0.458,22,0,7,2
7/10/2025 16:01,France_level_1_final,Ensemble (mean),Month+1,0.2,1/1/2000,12/31/2024,1/1/2022,0.96,0.828,1.0,0.486,0.911,0.643,24,2,5,0
7/10/2025 16:01,France_level_1_final,Ensemble (mean),Month+2,0.19,1/1/2000,12/31/2024,1/1/2022,0.92,0.793,0.958,0.172,0.708,0.551,23,1,6,1
7/10/2025 16:01,France_level_1_final,Ensemble (mean),Month+3,0.13,1/1/2000,12/31/2024,1/1/2022,0.913,0.767,0.958,-0.099,0.542,0.479,23,0,7,1
